route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
ROUTE_ba941773-3d4f-4d9a-9798-65c894676657,d974bc74-3c08-4540-98af-64b6ba6f7180,,,1,,356914ac-9ddd-4402-9818-124b8846b483,0,0,1472583
ROUTE_1473615,3d23463d-e305-40b5-a4ad-aed67cf0509f,,,1,,,0,0,1472587
ROUTE_1473615,8d6c8285-a87e-4fb8-84ea-b0a11d16caf1,,,1,,c1758e0f-fc55-403c-86d7-72b5fb28e283,0,0,1474095
ROUTE_1473615,d44e5b0d-8aa6-4541-8ba1-45f3692ba5b3,,,1,,8eba3733-203a-49ee-a8a9-f87da015e655,0,0,1472586
ROUTE_f11d3f3e-6002-470a-bc1a-aa37500c4c21,04b10fb6-eb7e-4c0d-a3b2-9a3cf46b3172,,,1,,,0,0,1472583
ROUTE_1473615,89df68ff-d366-48b1-b791-3d1c6faf8f9d,,,1,,,0,0,1472586
ROUTE_3de358c0-2102-429b-b2e2-1d02b02b4b27,dfe5e041-be03-49b1-b67b-bee05d65044d,,,1,,,0,0,1472583
ROUTE_1473615,18151e92-6d9f-4ec5-94b4-ffd481845dd5,,,1,,,0,0,1472583
ROUTE_ba941773-3d4f-4d9a-9798-65c894676657,59ec5499-4533-4870-b9fa-25885120d10b,,,1,,73e2a526-db66-4b6b-b4a0-e2f1d9acc807,0,0,1472583
ROUTE_1473615,6230b19f-0afe-411e-a14c-052e43e1ede3,,,1,,,0,0,1472583
ROUTE_1473615,6874cb4f-f0fa-4b9f-a03b-1df41f47059f,,,1,,,0,0,1472587
ROUTE_1473615,031643fa-7b53-4f34-8d01-94e82c59e0ff,,,1,,,0,0,1472584
ROUTE_3de358c0-2102-429b-b2e2-1d02b02b4b27,53ed4504-5248-4058-84b1-e5c0052eca46,,,1,,,0,0,1472583
ROUTE_1473499,TRIP_1473604,293 RUTLAND,,1,,1473501,0,0,1473526
ROUTE_1473615,0d700724-2af2-4729-aa4b-a9ef0bfbecdd,,,1,,,0,0,1472585
ROUTE_1473499,dae816b7-0019-4f57-a57f-54ca83967319,,,1,,07705d63-d7b1-4f72-bcd9-172f46cf0767,0,0,1473526
ROUTE_1473615,dffad78d-96c8-4c12-b0f3-b0af63000be9,,,1,,c0fb634f-eaa5-4c23-97a7-255dc0bac351,0,0,1472587
ROUTE_1473615,0d39f00c-25cc-475b-9094-8c3f88e61dcc,,,1,,,0,0,1473526
ROUTE_1473499,bd45e220-13ac-41ac-ad21-4944c43fc1f2,,,1,,e8f8c325-766b-433f-89c7-17c7a8aa61e1,0,0,1472586
ROUTE_1473615,b111e23e-4274-4480-8eb3-f3c99825d880,,,1,,f9e86c88-eeb3-4370-9b02-e5a75912c8cb,0,0,1472585
ROUTE_1473499,8ea07b86-6495-4411-89dd-cd6fef8d3dbf,,,1,,9cc42386-72ec-4949-b28b-bfd7adb44d0c,0,0,1472584
ROUTE_1473615,def254f9-c556-44dc-82e1-f47c4e13a33a,,,1,,,0,0,1472587
ROUTE_1473615,23ed596a-6fd4-4f8b-ac03-383d73eae3d9,,,1,,,0,0,1472585
ROUTE_1473615,e7460695-07d8-4c0b-b3d0-13276a1a8450,,,1,,9a59b792-cd9b-4f46-bb04-acfd33e17f95,0,0,1474334
ROUTE_1473615,3c24cd09-be28-4bd9-9ffd-8167e0b0ce6d,,,1,,0b90d0bb-8d15-48d1-a558-f76f00efabf4,0,0,1472586
ROUTE_1473615,c54ad232-25af-420e-a8da-783f025a5454,,,1,,,0,0,1472585
ROUTE_1473615,182c5fa1-4c6b-4aef-ad90-f48dcdf919e2,,,1,,f33207e5-cdc1-4264-9bcb-83fe1441b0dc,0,0,1472583
ROUTE_1473615,c8dfc949-4930-48dc-bf66-aadcf12b1a45,,,1,,1f22f9bc-3f0a-4e5f-b650-9f43478bdf5a,0,0,1472587
ROUTE_f11d3f3e-6002-470a-bc1a-aa37500c4c21,be25f1d6-d42f-46ce-a7b1-f71291c34b1d,,,1,,,0,0,1472583
ROUTE_1473615,c90e34e3-8b58-4e7e-be5d-1749380474a7,,,1,,67f7cf80-ec0e-4900-bd77-dabf6dabf775,0,0,1472587
ROUTE_1473615,b0553212-fc5d-426a-9e9c-a76ebee4796f,,,1,,67f7cf80-ec0e-4900-bd77-dabf6dabf775,0,0,1472587
ROUTE_1473615,c160c2ae-45db-4879-9b10-a4b4698cc2bc,,,1,,,0,0,1472585
ROUTE_1473615,be1eaa36-52a2-46b5-acd0-d51b98a47c99,,,1,,,0,0,1472587
ROUTE_1473615,78ccb83c-3a3d-4fa1-aca9-e756e7106751,,,1,,683becf5-46fe-4745-9c25-408182bc1e37,0,0,1472587
ROUTE_1473615,52920f9c-a0fe-4b63-a43d-bbfc02b2be7d,,,1,,c2f7b16f-7f21-4f4e-9f91-e4c491523116,0,0,1472583
ROUTE_1473499,6a91f3a8-0348-439a-ac06-bb6a87b731ca,,,1,,1473501,0,0,1473525
ROUTE_1473615,af49a7ee-4f43-45b1-a371-09d05cd56119,,,1,,,0,0,1472583
ROUTE_1473615,536742a7-083e-4168-9e39-2c06abb3485a,,,1,,,0,0,1472583
ROUTE_1473499,670ec7dc-dbdd-485a-a6b7-5047fdb70885,,,1,,0273a212-8215-49f8-b8cf-17f7fdc7c2d8,0,0,1472587
ROUTE_1473615,700e4098-3e57-4e4d-9fbd-166433cda81e,,,1,,,0,0,1472583
